Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story4,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000743,0.000685,1.085,43,32,32,13.5
Story4,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000905,0.0007,1.294,39,32,0,13.5
Story4,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.000665,0.000665,1,23,0,32,13.5
Story4,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000798,0.000665,1.201,43,32,32,13.5
Story4,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000798,0.000665,1.201,23,0,32,13.5
Story4,W,LinStatic,Step By Step,1,Diaph D1 X,3.8E-05,3.4E-05,1.108,39,32,0,13.5
Story4,W,LinStatic,Step By Step,2,Diaph D1 Y,3.2E-05,3.2E-05,1,43,32,32,13.5
Story4,W,LinStatic,Step By Step,3,Diaph D1 X,4.4E-05,2.6E-05,1.658,39,32,0,13.5
Story4,W,LinStatic,Step By Step,4,Diaph D1 X,3.7E-05,2.5E-05,1.479,43,32,32,13.5
Story4,W,LinStatic,Step By Step,5,Diaph D1 Y,3.9E-05,2.4E-05,1.604,43,32,32,13.5
Story4,W,LinStatic,Step By Step,6,Diaph D1 Y,3.9E-05,2.4E-05,1.604,23,0,32,13.5
Story4,W,LinStatic,Step By Step,7,Diaph D1 X,2.8E-05,2.6E-05,1.108,39,32,0,13.5
Story4,W,LinStatic,Step By Step,7,Diaph D1 Y,2.7E-05,2.4E-05,1.114,23,0,32,13.5
Story4,W,LinStatic,Step By Step,8,Diaph D1 X,2.8E-05,2.6E-05,1.108,39,32,0,13.5
Story4,W,LinStatic,Step By Step,8,Diaph D1 Y,2.7E-05,2.4E-05,1.114,43,32,32,13.5
Story4,W,LinStatic,Step By Step,9,Diaph D1 X,4.4E-05,2E-05,2.175,39,32,0,13.5
Story4,W,LinStatic,Step By Step,9,Diaph D1 Y,4.2E-05,1.8E-05,2.322,19,0,0,13.5
Story4,W,LinStatic,Step By Step,10,Diaph D1 X,3.8E-05,1.8E-05,2.108,43,32,32,13.5
Story4,W,LinStatic,Step By Step,10,Diaph D1 Y,3.8E-05,1.8E-05,2.094,43,32,32,13.5
Story4,W,LinStatic,Step By Step,11,Diaph D1 X,4.4E-05,2E-05,2.175,39,32,0,13.5
Story4,W,LinStatic,Step By Step,11,Diaph D1 Y,4.2E-05,1.8E-05,2.322,43,32,32,13.5
Story4,W,LinStatic,Step By Step,12,Diaph D1 X,3.8E-05,1.8E-05,2.108,43,32,32,13.5
Story4,W,LinStatic,Step By Step,12,Diaph D1 Y,3.8E-05,1.8E-05,2.094,23,0,32,13.5
Story4,Qx,LinRespSpec,Max,,Diaph D1 X,0.001105,0.001007,1.097,43,32,32,13.5
Story4,Qx,LinRespSpec,Max,,Diaph D1 Y,0.000292,0.000146,2,23,0,32,13.5
Story4,Qy,LinRespSpec,Max,,Diaph D1 X,0.000198,0.000104,1.898,39,32,0,13.5
Story4,Qy,LinRespSpec,Max,,Diaph D1 Y,0.001116,0.001023,1.092,23,0,32,13.5
Story4,EU-F,Combination,Max,,Diaph D1 X,0.001737,0.001553,1.118,43,32,32,13.5
Story4,EU-F,Combination,Max,,Diaph D1 Y,0.001813,0.001607,1.128,23,0,32,13.5
Story4,EU-F,Combination,Min,,Diaph D1 X,0.001737,0.001553,1.118,43,32,32,13.5
Story4,EU-F,Combination,Min,,Diaph D1 Y,0.001802,0.001596,1.129,23,0,32,13.5
Story4,ES-F,Combination,Max,,Diaph D1 X,0.001216,0.001088,1.118,43,32,32,13.5
Story4,ES-F,Combination,Max,,Diaph D1 Y,0.001272,0.001126,1.129,23,0,32,13.5
Story4,ES-F,Combination,Min,,Diaph D1 X,0.001216,0.001088,1.118,43,32,32,13.5
Story4,ES-F,Combination,Min,,Diaph D1 Y,0.001263,0.001118,1.13,23,0,32,13.5
Story3,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.000704,0.000628,1.121,39,32,0,10.5
Story3,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000687,0.000621,1.107,43,32,32,10.5
Story3,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000855,0.000636,1.343,39,32,0,10.5
Story3,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.000592,0.000592,1,23,0,32,10.5
Story3,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000737,0.000592,1.244,43,32,32,10.5
Story3,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000737,0.000592,1.244,23,0,32,10.5
Story3,W,LinStatic,Step By Step,1,Diaph D1 X,3.6E-05,3.2E-05,1.126,39,32,0,10.5
Story3,W,LinStatic,Step By Step,2,Diaph D1 Y,3E-05,3E-05,1,43,32,32,10.5
Story3,W,LinStatic,Step By Step,3,Diaph D1 X,4.5E-05,2.5E-05,1.811,39,32,0,10.5
Story3,W,LinStatic,Step By Step,4,Diaph D1 X,3.7E-05,2.3E-05,1.615,43,32,32,10.5
Story3,W,LinStatic,Step By Step,5,Diaph D1 Y,3.9E-05,2.2E-05,1.773,43,32,32,10.5
Story3,W,LinStatic,Step By Step,6,Diaph D1 Y,3.9E-05,2.2E-05,1.773,23,0,32,10.5
Story3,W,LinStatic,Step By Step,7,Diaph D1 X,2.7E-05,2.4E-05,1.126,39,32,0,10.5
Story3,W,LinStatic,Step By Step,7,Diaph D1 Y,2.5E-05,2.2E-05,1.136,20,0,8,10.5
Story3,W,LinStatic,Step By Step,8,Diaph D1 X,2.7E-05,2.4E-05,1.126,39,32,0,10.5
Story3,W,LinStatic,Step By Step,8,Diaph D1 Y,2.5E-05,2.2E-05,1.136,43,32,32,10.5
Story3,W,LinStatic,Step By Step,9,Diaph D1 X,4.8E-05,1.9E-05,2.445,39,32,0,10.5
Story3,W,LinStatic,Step By Step,9,Diaph D1 Y,4.5E-05,1.7E-05,2.682,23,0,32,10.5
Story3,W,LinStatic,Step By Step,10,Diaph D1 X,4E-05,1.7E-05,2.42,43,32,32,10.5
Story3,W,LinStatic,Step By Step,10,Diaph D1 Y,4E-05,1.7E-05,2.41,43,32,32,10.5
Story3,W,LinStatic,Step By Step,11,Diaph D1 X,4.8E-05,1.9E-05,2.445,39,32,0,10.5
Story3,W,LinStatic,Step By Step,11,Diaph D1 Y,4.5E-05,1.7E-05,2.682,39,32,0,10.5
Story3,W,LinStatic,Step By Step,12,Diaph D1 X,4E-05,1.7E-05,2.42,43,32,32,10.5
Story3,W,LinStatic,Step By Step,12,Diaph D1 Y,4E-05,1.7E-05,2.41,23,0,32,10.5
Story3,Qx,LinRespSpec,Max,,Diaph D1 X,0.001044,0.000932,1.12,43,32,32,10.5
Story3,Qx,LinRespSpec,Max,,Diaph D1 Y,0.000318,0.000159,2,19,0,0,10.5
Story3,Qy,LinRespSpec,Max,,Diaph D1 X,0.000212,0.000111,1.9,39,32,0,10.5
Story3,Qy,LinRespSpec,Max,,Diaph D1 Y,0.001023,0.000923,1.109,23,0,32,10.5
Story3,EU-F,Combination,Max,,Diaph D1 X,0.001651,0.001443,1.144,43,32,32,10.5
Story3,EU-F,Combination,Max,,Diaph D1 Y,0.001686,0.001464,1.152,19,0,0,10.5
Story3,EU-F,Combination,Min,,Diaph D1 X,0.001651,0.001443,1.144,43,32,32,10.5
Story3,EU-F,Combination,Min,,Diaph D1 Y,0.001673,0.001451,1.153,19,0,0,10.5
Story3,ES-F,Combination,Max,,Diaph D1 X,0.001156,0.001011,1.144,43,32,32,10.5
Story3,ES-F,Combination,Max,,Diaph D1 Y,0.001182,0.001026,1.152,23,0,32,10.5
Story3,ES-F,Combination,Min,,Diaph D1 X,0.001156,0.001011,1.144,43,32,32,10.5
Story3,ES-F,Combination,Min,,Diaph D1 Y,0.001173,0.001017,1.154,23,0,32,10.5
Story2,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.000541,0.000484,1.117,39,32,0,7.5
Story2,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000568,0.000478,1.187,43,32,32,7.5
Story2,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000693,0.00049,1.414,39,32,0,7.5
Story2,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.000466,0.000466,1,23,0,32,7.5
Story2,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000615,0.000466,1.318,43,32,32,7.5
Story2,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000615,0.000466,1.318,23,0,32,7.5
Story2,W,LinStatic,Step By Step,1,Diaph D1 X,2.9E-05,2.6E-05,1.125,39,32,0,7.5
Story2,W,LinStatic,Step By Step,2,Diaph D1 Y,2.4E-05,2.4E-05,1,43,32,32,7.5
Story2,W,LinStatic,Step By Step,3,Diaph D1 X,4.2E-05,2E-05,2.076,39,32,0,7.5
Story2,W,LinStatic,Step By Step,4,Diaph D1 X,3.5E-05,1.9E-05,1.906,43,32,32,7.5
Story2,W,LinStatic,Step By Step,5,Diaph D1 Y,3.8E-05,1.8E-05,2.049,43,32,32,7.5
Story2,W,LinStatic,Step By Step,6,Diaph D1 Y,3.8E-05,1.8E-05,2.049,23,0,32,7.5
Story2,W,LinStatic,Step By Step,7,Diaph D1 X,2.2E-05,1.9E-05,1.125,39,32,0,7.5
Story2,W,LinStatic,Step By Step,7,Diaph D1 Y,2.1E-05,1.8E-05,1.132,23,0,32,7.5
Story2,W,LinStatic,Step By Step,8,Diaph D1 X,2.2E-05,1.9E-05,1.125,39,32,0,7.5
Story2,W,LinStatic,Step By Step,8,Diaph D1 Y,2.1E-05,1.8E-05,1.132,40,32,8,7.5
Story2,W,LinStatic,Step By Step,9,Diaph D1 X,4.6E-05,1.6E-05,2.957,39,32,0,7.5
Story2,W,LinStatic,Step By Step,9,Diaph D1 Y,4.4E-05,1.4E-05,3.231,23,0,32,7.5
Story2,W,LinStatic,Step By Step,10,Diaph D1 X,4E-05,1.3E-05,3.026,43,32,32,7.5
Story2,W,LinStatic,Step By Step,10,Diaph D1 Y,4.1E-05,1.4E-05,2.967,43,32,32,7.5
Story2,W,LinStatic,Step By Step,11,Diaph D1 X,4.6E-05,1.6E-05,2.957,39,32,0,7.5
Story2,W,LinStatic,Step By Step,11,Diaph D1 Y,4.4E-05,1.4E-05,3.231,43,32,32,7.5
Story2,W,LinStatic,Step By Step,12,Diaph D1 X,4E-05,1.3E-05,3.026,43,32,32,7.5
Story2,W,LinStatic,Step By Step,12,Diaph D1 Y,4.1E-05,1.4E-05,2.967,23,0,32,7.5
Story2,Qx,LinRespSpec,Max,,Diaph D1 X,0.000897,0.000762,1.176,43,32,32,7.5
Story2,Qx,LinRespSpec,Max,,Diaph D1 Y,0.000342,0.000171,2,23,0,32,7.5
Story2,Qy,LinRespSpec,Max,,Diaph D1 X,0.000212,0.00011,1.924,39,32,0,7.5
Story2,Qy,LinRespSpec,Max,,Diaph D1 Y,0.000847,0.000745,1.137,23,0,32,7.5
Story2,EU-F,Combination,Max,,Diaph D1 X,0.001433,0.001189,1.205,43,32,32,7.5
Story2,EU-F,Combination,Max,,Diaph D1 Y,0.001428,0.001198,1.192,23,0,32,7.5
Story2,EU-F,Combination,Min,,Diaph D1 X,0.001433,0.001189,1.205,43,32,32,7.5
Story2,EU-F,Combination,Min,,Diaph D1 Y,0.001422,0.001192,1.193,23,0,32,7.5
Story2,ES-F,Combination,Max,,Diaph D1 X,0.001004,0.000833,1.206,43,32,32,7.5
Story2,ES-F,Combination,Max,,Diaph D1 Y,0.001002,0.00084,1.193,23,0,32,7.5
Story2,ES-F,Combination,Min,,Diaph D1 X,0.001004,0.000833,1.206,43,32,32,7.5
Story2,ES-F,Combination,Min,,Diaph D1 Y,0.000997,0.000835,1.194,23,0,32,7.5
Story1,Ex,LinStatic,Step By Step,1,Diaph D1 X,0.000292,0.000264,1.106,39,32,0,4.5
Story1,Ex,LinStatic,Step By Step,2,Diaph D1 X,0.000394,0.000261,1.509,43,32,32,4.5
Story1,Ex,LinStatic,Step By Step,3,Diaph D1 X,0.000455,0.000266,1.71,39,32,0,4.5
Story1,Ey,LinStatic,Step By Step,1,Diaph D1 Y,0.000268,0.000268,1,23,0,32,4.5
Story1,Ey,LinStatic,Step By Step,2,Diaph D1 Y,0.000431,0.000268,1.611,43,32,32,4.5
Story1,Ey,LinStatic,Step By Step,3,Diaph D1 Y,0.000431,0.000268,1.611,23,0,32,4.5
Story1,W,LinStatic,Step By Step,1,Diaph D1 X,1.7E-05,1.5E-05,1.114,39,32,0,4.5
Story1,W,LinStatic,Step By Step,2,Diaph D1 Y,1.5E-05,1.5E-05,1,43,32,32,4.5
Story1,W,LinStatic,Step By Step,3,Diaph D1 X,3.6E-05,1.2E-05,3.047,39,32,0,4.5
Story1,W,LinStatic,Step By Step,4,Diaph D1 X,3.3E-05,1.1E-05,2.942,43,32,32,4.5
Story1,W,LinStatic,Step By Step,5,Diaph D1 Y,3.5E-05,1.2E-05,3.006,43,32,32,4.5
Story1,W,LinStatic,Step By Step,6,Diaph D1 Y,3.5E-05,1.2E-05,3.006,23,0,32,4.5
Story1,W,LinStatic,Step By Step,7,Diaph D1 X,1.3E-05,1.2E-05,1.114,39,32,0,4.5
Story1,W,LinStatic,Step By Step,7,Diaph D1 Y,1.3E-05,1.2E-05,1.115,23,0,32,4.5
Story1,W,LinStatic,Step By Step,8,Diaph D1 X,1.3E-05,1.2E-05,1.114,39,32,0,4.5
Story1,W,LinStatic,Step By Step,8,Diaph D1 Y,1.3E-05,1.2E-05,1.115,43,32,32,4.5
Story1,W,LinStatic,Step By Step,9,Diaph D1 X,4.5E-05,9E-06,4.868,39,32,0,4.5
Story1,W,LinStatic,Step By Step,9,Diaph D1 Y,4.4E-05,9E-06,5.127,23,0,32,4.5
Story1,W,LinStatic,Step By Step,10,Diaph D1 X,4.2E-05,8E-06,5.132,43,32,32,4.5
Story1,W,LinStatic,Step By Step,10,Diaph D1 Y,4.2E-05,9E-06,4.898,43,32,32,4.5
Story1,W,LinStatic,Step By Step,11,Diaph D1 X,4.5E-05,9E-06,4.868,39,32,0,4.5
Story1,W,LinStatic,Step By Step,11,Diaph D1 Y,4.4E-05,9E-06,5.127,43,32,32,4.5
Story1,W,LinStatic,Step By Step,12,Diaph D1 X,4.2E-05,8E-06,5.132,43,32,32,4.5
Story1,W,LinStatic,Step By Step,12,Diaph D1 Y,4.2E-05,9E-06,4.898,23,0,32,4.5
Story1,Qx,LinRespSpec,Max,,Diaph D1 X,0.000702,0.00052,1.35,43,32,32,4.5
Story1,Qx,LinRespSpec,Max,,Diaph D1 Y,0.00041,0.000205,2,23,0,32,4.5
Story1,Qy,LinRespSpec,Max,,Diaph D1 X,0.000227,0.000115,1.97,39,32,0,4.5
Story1,Qy,LinRespSpec,Max,,Diaph D1 Y,0.000589,0.000477,1.234,23,0,32,4.5
Story1,EU-F,Combination,Max,,Diaph D1 X,0.001152,0.00083,1.387,43,32,32,4.5
Story1,EU-F,Combination,Max,,Diaph D1 Y,0.001067,0.000807,1.322,23,0,32,4.5
Story1,EU-F,Combination,Min,,Diaph D1 X,0.001152,0.00083,1.387,43,32,32,4.5
Story1,EU-F,Combination,Min,,Diaph D1 Y,0.001068,0.000808,1.321,23,0,32,4.5
Story1,ES-F,Combination,Max,,Diaph D1 X,0.000807,0.000582,1.388,43,32,32,4.5
Story1,ES-F,Combination,Max,,Diaph D1 Y,0.000749,0.000566,1.323,23,0,32,4.5
Story1,ES-F,Combination,Min,,Diaph D1 X,0.000807,0.000582,1.388,43,32,32,4.5
Story1,ES-F,Combination,Min,,Diaph D1 Y,0.00075,0.000567,1.323,23,0,32,4.5
